instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,base_asset,quote_asset
1000CATBNB,1000CATBNB,1000CATBNB,1000CAT/BNB,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,1000CAT,BNB
1000CATFDUSD,1000CATFDUSD,1000CATFDUSD,1000CAT/FDUSD,0.0,,0.0,1e-05,0.1,EQ,CRYPTO,BINANCE,1000CAT,FDUSD
1000CATTRY,1000CATTRY,1000CATTRY,1000CAT/TRY,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,1000CAT,TRY
1000CATUSDC,1000CATUSDC,1000CATUSDC,1000CAT/USDC,0.0,,0.0,1e-05,0.1,EQ,CRYPTO,BINANCE,1000CAT,USDC
1000CATUSDT,1000CATUSDT,1000CATUSDT,1000CAT/USDT,0.0,,0.0,1e-05,0.1,EQ,CRYPTO,BINANCE,1000CAT,USDT
1000CHEEMSUSDC,1000CHEEMSUSDC,1000CHEEMSUSDC,1000CHEEMS/USDC,0.0,,0.0,1e-06,1.0,EQ,CRYPTO,BINANCE,1000CHEEMS,USDC
1000CHEEMSUSDT,1000CHEEMSUSDT,1000CHEEMSUSDT,1000CHEEMS/USDT,0.0,,0.0,1e-06,1.0,EQ,CRYPTO,BINANCE,1000CHEEMS,USDT
1000SATSFDUSD,1000SATSFDUSD,1000SATSFDUSD,1000SATS/FDUSD,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,1000SATS,FDUSD
1000SATSTRY,1000SATSTRY,1000SATSTRY,1000SATS/TRY,0.0,,0.0,1e-06,1.0,EQ,CRYPTO,BINANCE,1000SATS,TRY
1000SATSUSDC,1000SATSUSDC,1000SATSUSDC,1000SATS/USDC,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,1000SATS,USDC
1000SATSUSDT,1000SATSUSDT,1000SATSUSDT,1000SATS/USDT,0.0,,0.0,1e-08,1.0,EQ,CRYPTO,BINANCE,1000SATS,USDT
1INCHBTC,1INCHBTC,1INCHBTC,1INCH/BTC,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,1INCH,BTC
1INCHUSDT,1INCHUSDT,1INCHUSDT,1INCH/USDT,0.0,,0.0,0.0001,0.1,EQ,CRYPTO,BINANCE,1INCH,USDT
1MBABYDOGEFDUSD,1MBABYDOGEFDUSD,1MBABYDOGEFDUSD,1MBABYDOGE/FDUSD,0.0,,0.0,1e-07,1.0,EQ,CRYPTO,BINANCE,1MBABYDOGE,FDUSD
1MBABYDOGETRY,1MBABYDOGETRY,1MBABYDOGETRY,1MBABYDOGE/TRY,0.0,,0.0,1e-05,1.0,EQ,CRYPTO,BINANCE,1MBABYDOGE,TRY
1MBABYDOGEUSDC,1MBABYDOGEUSDC,1MBABYDOGEUSDC,1MBABYDOGE/USDC,0.0,,0.0,1e-07,1.0,EQ,CRYPTO,BINANCE,1MBABYDOGE,USDC
1MBABYDOGEUSDT,1MBABYDOGEUSDT,1MBABYDOGEUSDT,1MBABYDOGE/USDT,0.0,,0.0,1e-07,1.0,EQ,CRYPTO,BINANCE,1MBABYDOGE,USDT
AAVEBTC,AAVEBTC,AAVEBTC,AAVE/BTC,0.0,,0.0,1e-06,0.001,EQ,CRYPTO,BINANCE,AAVE,BTC
AAVEETH,AAVEETH,AAVEETH,AAVE/ETH,0.0,,0.0,1e-05,0.001,EQ,CRYPTO,BINANCE,AAVE,ETH
AAVEFDUSD,AAVEFDUSD,AAVEFDUSD,AAVE/FDUSD,0.0,,0.0,0.01,0.001,EQ,CRYPTO,BINANCE,AAVE,FDUSD
AAVETRY,AAVETRY,AAVETRY,AAVE/TRY,0.0,,0.0,1.0,0.001,EQ,CRYPTO,BINANCE,AAVE,TRY
AAVEUSDC,AAVEUSDC,AAVEUSDC,AAVE/USDC,0.0,,0.0,0.01,0.001,EQ,CRYPTO,BINANCE,AAVE,USDC
AAVEUSDT,AAVEUSDT,AAVEUSDT,AAVE/USDT,0.0,,0.0,0.01,0.001,EQ,CRYPTO,BINANCE,AAVE,USDT
ABTC,ABTC,ABTC,A/BTC,0.0,,0.0,1e-08,0.1,EQ,CRYPTO,BINANCE,A,BTC
ACATRY,ACATRY,ACATRY,ACA/TRY,0.0,,0.0,0.001,1.0,EQ,CRYPTO,BINANCE,ACA,TRY
ACAUSDT,ACAUSDT,ACAUSDT,ACA/USDT,0.0,,0.0,0.0001,0.01,EQ,CRYPTO,BINANCE,ACA,USDT
ACETRY,ACETRY,ACETRY,ACE/TRY,0.0,,0.0,0.01,0.1,EQ,CRYPTO,BINANCE,ACE,TRY
ACEUSDT,ACEUSDT,ACEUSDT,ACE/USDT,0.0,,0.0,0.001,0.1,EQ,CRYPTO,BINANCE,ACE,USDT
