user_symbol,binance_symbol,is_exact_match
ETHBTC,ETHBTC,True
DODOUSDT,DODOUSDT,True
ACTUSDC,ACTUSDC,True
LPTBNB,LPTBNB,True
NEIROUSDC,NEIROUSDC,True
PNUTBTC,PNUTBTC,True
LPTBTC,LPTBTC,True
PNUTFDUSD,PNUTFDUSD,True
PNUTUSDC,PNUTUSDC,True
ARBTC,ARBTC,True
CATIUSDC,CATIUSDC,True
SHIBEUR,SHIBEUR,True
ETHEURI,ETHEURI,True
LUMIATRY,LUMIATRY,True
ICPBTC,ICPBTC,True
PNUTBRL,PNUTBRL,True
PNUTEUR,PNUTEUR,True
APEFDUSD,APEFDUSD,True
VETTRY,VETTRY,True
TRXEUR,TRXEUR,True
FDUSDUSDC,FDUSDUSDC,True
HBARUSDC,HBARUSDC,True
OMUSDC,OMUSDC,True
RAYUSDC,RAYUSDC,True
FORTHUSDT,FORTHUSDT,True
SOLEUR,SOLEUR,True
ACTFDUSD,ACTFDUSD,True
SHIBBRL,SHIBBRL,True
MLNUSDT,MLNUSDT,True
MINABTC,MINABTC,True
FLOWUSDT,FLOWUSDT,True
FLOWBTC,FLOWBTC,True
SCRBTC,SCRBTC,True
SCRFDUSD,SCRFDUSD,True
QNTBTC,QNTBTC,True
SCRTRY,SCRTRY,True
C98USDT,C98USDT,True
DEXEUSDT,DEXEUSDT,True
GRTTRY,GRTTRY,True
SOLBRL,SOLBRL,True
ICPEUR,ICPEUR,True
SOLTRY,SOLTRY,True
BAKEBTC,BAKEBTC,True
GTCUSDT,GTCUSDT,True
ACTTRY,ACTTRY,True
ATAUSDT,ATAUSDT,True
COWTRY,COWTRY,True
ATABTC,ATABTC,True
CETUSTRY,CETUSTRY,True
SHIBTRY,SHIBTRY,True
PNUTTRY,PNUTTRY,True
TAOUSDC,TAOUSDC,True
FORTHBTC,FORTHBTC,True
THEFDUSD,THEFDUSD,True
FISUSDT,FISUSDT,True
CHZUSDC,CHZUSDC,True
PONDUSDT,PONDUSDT,True
PYTHUSDC,PYTHUSDC,True
RSRUSDC,RSRUSDC,True
OMBTC,OMBTC,True
WUSDC,WUSDC,True
EGLDEUR,EGLDEUR,True
HOTTRY,HOTTRY,True
XTZUSDC,XTZUSDC,True
DOTBRL,DOTBRL,True
FISBTC,FISBTC,True
DEGOUSDT,DEGOUSDT,True
ADABRL,ADABRL,True
ADATRY,ADATRY,True
MOVEBTC,MOVEBTC,True
PHABTC,PHABTC,True
MOVEBNB,MOVEBNB,True
AUCTIONBTC,AUCTIONBTC,True
MOVEFDUSD,MOVEFDUSD,True
ACMUSDT,ACMUSDT,True
MOVETRY,MOVETRY,True
CAKEBTC,CAKEBTC,True
XLMFDUSD,XLMFDUSD,True
SANDUSDC,SANDUSDC,True
VETEUR,VETEUR,True
WLDEUR,WLDEUR,True
THETRY,THETRY,True
ONTTRY,ONTTRY,True
APEUSDC,APEUSDC,True
WINEUR,WINEUR,True
BOMEEUR,BOMEEUR,True
EIGENUSDC,EIGENUSDC,True
HBARFDUSD,HBARFDUSD,True
TKOUSDT,TKOUSDT,True
MEMEUSDC,MEMEUSDC,True
RVNTRY,RVNTRY,True
1MBABYDOGEUSDC,1MBABYDOGEUSDC,True
AVAXEUR,AVAXEUR,True
CFXBTC,CFXBTC,True
CETUSUSDC,CETUSUSDC,True
COWUSDC,COWUSDC,True
DYDXUSDC,DYDXUSDC,True
SUPERBTC,SUPERBTC,True
HMSTRUSDC,HMSTRUSDC,True
PERPUSDT,PERPUSDT,True
TURBOUSDC,TURBOUSDC,True
ENABRL,ENABRL,True
KAIAUSDC,KAIAUSDC,True
TURBOTRY,TURBOTRY,True
